Attribute,Time stamp,x,y,z 
Gyroscope,167946,20.094863891601562,-15.890121459960938,95.947265625
Gyroscope,167947,20.339004516601562,-15.523910522460938,95.39794921875
Gyroscope,167948,20.522109985351562,-15.218734741210938,94.7265625
Gyroscope,167949,20.888320922851562,-14.730453491210938,94.29931640625
Gyroscope,167949,21.254531860351562,-14.303207397460938,93.93310546875
Gyroscope,167951,21.498672485351562,-13.875961303710938,93.32275390625
Gyroscope,167952,21.498672485351562,-13.387680053710938,92.71240234375
Gyroscope,167953,21.498672485351562,-13.082504272460938,92.041015625
Gyroscope,167954,21.742813110351562,-12.899398803710938,91.49169921875
Gyroscope,167954,22.170059204101562,-12.777328491210938,90.9423828125
Gyroscope,167955,22.414199829101562,-12.716293334960938,90.39306640625
Gyroscope,167956,22.536270141601562,-12.777328491210938,89.90478515625
Gyroscope,167958,22.658340454101562,-12.899398803710938,89.29443359375
Gyroscope,167958,22.780410766601562,-13.143539428710938,88.623046875
Gyroscope,167959,22.902481079101562,-13.448715209960938,87.890625
Gyroscope,167960,23.146621704101562,-13.753890991210938,87.34130859375
Gyroscope,167962,23.329727172851562,-13.936996459960938,86.7919921875
Gyroscope,167964,23.451797485351562,-14.242172241210938,86.12060546875
Gyroscope,167965,23.573867797851562,-14.486312866210938,85.38818359375
Gyroscope,167966,23.695938110351562,-14.547348022460938,84.77783203125
Gyroscope,167966,23.940078735351562,-14.303207397460938,84.16748046875
Gyroscope,167967,24.184219360351562,-13.814926147460938,83.43505859375
Gyroscope,167968,24.428359985351562,-13.265609741210938,82.763671875
Gyroscope,167969,24.672500610351562,-12.411117553710938,82.03125
Gyroscope,167970,24.977676391601562,-11.190414428710938,81.35986328125
Gyroscope,167971,25.282852172851562,-9.847640991210938,80.56640625
Gyroscope,167971,25.649063110351562,-8.443832397460938,79.89501953125
Gyroscope,167973,25.832168579101562,-6.9789886474609375,79.28466796875
Gyroscope,167974,26.137344360351562,-5.5141448974609375,78.4912109375
Gyroscope,167975,26.442520141601562,-4.1713714599609375,77.63671875
Gyroscope,167976,26.686660766601562,-3.1948089599609375,76.7822265625
Gyroscope,167976,27.052871704101562,-2.4013519287109375,76.171875
Gyroscope,167978,27.297012329101562,-1.6689300537109375,75.62255859375
Gyroscope,167978,27.663223266601562,-0.9365081787109375,75.01220703125
Gyroscope,167979,28.090469360351562,-0.1430511474609375,74.27978515625
Gyroscope,167980,28.517715454101562,0.4673004150390625,73.42529296875
Gyroscope,167981,28.761856079101562,0.9555816650390625,72.6318359375
Gyroscope,167982,29.250137329101562,1.4438629150390625,71.96044921875
Gyroscope,167984,29.738418579101562,1.9321441650390625,71.47216796875
Gyroscope,167986,30.348770141601562,2.4814605712890625,71.10595703125
Gyroscope,167987,30.898086547851562,3.0307769775390625,70.80078125
Gyroscope,167988,31.386367797851562,3.5190582275390625,70.37353515625
Gyroscope,167988,31.874649047851562,4.1294097900390625,69.9462890625
Gyroscope,167989,32.48500061035156,4.8007965087890625,69.580078125
Gyroscope,167990,33.15638732910156,5.4111480712890625,69.27490234375
Gyroscope,167991,33.70570373535156,6.0214996337890625,69.03076171875
Gyroscope,167992,34.19398498535156,6.8149566650390625,68.84765625
Gyroscope,167993,34.80433654785156,7.6084136962890625,68.90869140625
Gyroscope,167993,35.35365295410156,8.340835571289062,68.9697265625
Gyroscope,167995,35.78089904785156,9.134292602539062,69.03076171875
Gyroscope,167996,36.33021545410156,9.866714477539062,68.9697265625
Gyroscope,167997,36.75746154785156,10.599136352539062,68.9697265625
Gyroscope,167998,37.12367248535156,11.148452758789062,69.15283203125
Gyroscope,167998,37.48988342285156,11.453628540039062,69.3359375
Gyroscope,167999,37.79505920410156,11.636734008789062,69.51904296875
Gyroscope,168000,38.03919982910156,11.758804321289062,69.82421875
Gyroscope,168001,38.28334045410156,11.819839477539062,70.1904296875
Gyroscope,168002,38.58851623535156,11.697769165039062,70.556640625
Gyroscope,168003,38.83265686035156,11.331558227539062,70.9228515625
Gyroscope,168004,39.01576232910156,10.782241821289062,71.10595703125
Gyroscope,168006,39.25990295410156,10.049819946289062,71.22802734375
Gyroscope,168008,39.56507873535156,9.500503540039062,71.4111328125
Gyroscope,168009,39.87025451660156,9.134292602539062,71.533203125
Gyroscope,168010,40.05335998535156,8.829116821289062,71.59423828125
Gyroscope,168010,40.35853576660156,8.584976196289062,71.71630859375
Gyroscope,168011,40.72474670410156,8.340835571289062,71.8994140625
Gyroscope,168012,41.15199279785156,8.096694946289062,72.021484375
Gyroscope,168013,41.45716857910156,7.9135894775390625,71.83837890625
Gyroscope,168014,41.57923889160156,7.6694488525390625,71.77734375
Gyroscope,168015,41.82337951660156,7.4253082275390625,71.71630859375
Gyroscope,168015,42.12855529785156,7.2422027587890625,71.6552734375
Gyroscope,168017,42.37269592285156,7.0590972900390625,71.6552734375
Gyroscope,168018,42.55580139160156,6.8149566650390625,71.533203125
Gyroscope,168019,42.86097717285156,6.5097808837890625,71.35009765625
Gyroscope,168020,42.98304748535156,6.2656402587890625,71.1669921875
Gyroscope,168020,43.22718811035156,6.0214996337890625,70.98388671875
Gyroscope,168021,43.47132873535156,5.6552886962890625,70.6787109375
Gyroscope,168022,43.59339904785156,5.2280426025390625,70.25146484375
Gyroscope,168023,43.71546936035156,4.9839019775390625,69.7021484375
Gyroscope,168024,43.95960998535156,4.9228668212890625,69.15283203125
Gyroscope,168025,44.20375061035156,4.9228668212890625,68.7255859375
Gyroscope,168026,44.38685607910156,4.9839019775390625,68.17626953125
Gyroscope,168028,44.56996154785156,5.1059722900390625,67.87109375
Gyroscope,168030,44.69203186035156,5.1670074462890625,67.5048828125
Gyroscope,168031,44.75306701660156,5.1670074462890625,67.138671875
Gyroscope,168032,44.63099670410156,5.2280426025390625,66.46728515625
Gyroscope,168033,44.26478576660156,5.1059722900390625,65.7958984375
Gyroscope,168034,43.95960998535156,4.8007965087890625,65.0634765625
Gyroscope,168034,43.77650451660156,4.6176910400390625,64.51416015625
Gyroscope,168035,43.65443420410156,4.4956207275390625,63.96484375
Gyroscope,168036,43.53236389160156,4.4956207275390625,63.3544921875
Gyroscope,168037,43.34925842285156,4.4345855712890625,62.6220703125
Gyroscope,168038,43.10511779785156,4.1904449462890625,62.01171875
Gyroscope,168040,42.92201232910156,4.0073394775390625,61.4013671875
Gyroscope,168040,42.73890686035156,3.8242340087890625,60.791015625
Gyroscope,168041,42.61683654785156,3.4580230712890625,60.11962890625
Gyroscope,168042,42.55580139160156,3.1528472900390625,59.326171875
Gyroscope,168043,42.43373107910156,2.7866363525390625,58.349609375
Gyroscope,168044,42.12855529785156,2.4204254150390625,57.4951171875
Gyroscope,168045,41.94544982910156,2.2373199462890625,56.57958984375
Gyroscope,168045,41.88441467285156,2.1762847900390625,55.6640625
Gyroscope,168046,41.82337951660156,2.1762847900390625,54.62646484375
Gyroscope,168047,41.51820373535156,2.1762847900390625,53.52783203125
Gyroscope,168048,41.27406311035156,2.1152496337890625,52.490234375
Gyroscope,168050,41.15199279785156,2.1152496337890625,51.513671875
Gyroscope,168052,41.15199279785156,2.1762847900390625,50.537109375
