Attribute,Time stamp,x,y,z
Magnetometer,205593,3.89984130859375,-148.34396362304688,-91.7962646484375
Magnetometer,205604,4.049835205078125,-148.04397583007812,-91.94625854492188
Magnetometer,205615,4.49981689453125,-149.24392700195312,-90.44631958007812
Magnetometer,205626,5.3997802734375,-148.64395141601562,-91.7962646484375
Magnetometer,205637,3.749847412109375,-147.74398803710938,-91.49627685546875
Magnetometer,205648,4.7998046875,-148.7939453125,-91.49627685546875
Magnetometer,205659,4.49981689453125,-146.9940185546875,-91.49627685546875
Magnetometer,205670,4.049835205078125,-147.74398803710938,-92.54623413085938
Magnetometer,205681,4.49981689453125,-148.7939453125,-89.84634399414062
Magnetometer,205692,3.89984130859375,-148.64395141601562,-90.74630737304688
Magnetometer,205703,4.349822998046875,-147.89398193359375,-90.29632568359375
Magnetometer,205714,5.249786376953125,-148.04397583007812,-92.54623413085938
Magnetometer,205725,3.89984130859375,-146.84402465820312,-92.396240234375
Magnetometer,205736,6.149749755859375,-147.89398193359375,-92.84622192382812
Magnetometer,205747,5.999755859375,-149.54391479492188,-91.49627685546875
Magnetometer,205757,5.999755859375,-148.7939453125,-93.59619140625
Magnetometer,205769,5.249786376953125,-147.74398803710938,-92.54623413085938
Magnetometer,205780,4.49981689453125,-147.44400024414062,-91.94625854492188
Magnetometer,205790,6.149749755859375,-148.64395141601562,-93.44619750976562
Magnetometer,205802,5.999755859375,-147.44400024414062,-92.54623413085938
Magnetometer,205812,6.449737548828125,-147.593994140625,-92.84622192382812
Magnetometer,205823,5.69976806640625,-147.14401245117188,-92.396240234375
Magnetometer,205834,5.09979248046875,-147.89398193359375,-93.44619750976562
Magnetometer,205846,6.5997314453125,-146.24404907226562,-92.54623413085938
Magnetometer,205857,5.09979248046875,-147.89398193359375,-92.84622192382812
Magnetometer,205867,7.649688720703125,-146.84402465820312,-92.396240234375
Magnetometer,205878,6.29974365234375,-146.69403076171875,-92.54623413085938
Magnetometer,205889,6.89971923828125,-147.593994140625,-92.396240234375
Magnetometer,205900,5.69976806640625,-146.54403686523438,-92.396240234375
Magnetometer,205911,6.449737548828125,-148.34396362304688,-92.84622192382812
Magnetometer,205922,5.249786376953125,-147.44400024414062,-92.54623413085938
Magnetometer,205933,6.149749755859375,-149.69390869140625,-91.7962646484375
Magnetometer,205944,6.5997314453125,-148.04397583007812,-91.94625854492188
Magnetometer,205956,9.89959716796875,-148.49395751953125,-93.29620361328125
Magnetometer,205966,9.599609375,-149.54391479492188,-94.04617309570312
Magnetometer,205977,7.949676513671875,-149.69390869140625,-94.1961669921875
Magnetometer,205989,8.9996337890625,-149.3939208984375,-93.44619750976562
Magnetometer,206000,10.349578857421875,-148.7939453125,-93.29620361328125
Magnetometer,206012,9.599609375,-148.49395751953125,-93.29620361328125
Magnetometer,206024,11.3995361328125,-148.04397583007812,-93.29620361328125
Magnetometer,206036,11.69952392578125,-148.7939453125,-91.49627685546875
Magnetometer,206046,9.599609375,-150.29388427734375,-92.9962158203125
Magnetometer,206058,10.49957275390625,-148.34396362304688,-93.89617919921875
Magnetometer,206070,14.09942626953125,-149.69390869140625,-94.49615478515625
Magnetometer,206081,13.049468994140625,-148.94393920898438,-92.84622192382812
Magnetometer,206092,13.349456787109375,-148.34396362304688,-94.1961669921875
Magnetometer,206103,14.849395751953125,-149.3939208984375,-94.1961669921875
Magnetometer,206114,15.449371337890625,-149.24392700195312,-95.09613037109375
Magnetometer,206126,13.7994384765625,-150.14389038085938,-93.44619750976562
Magnetometer,206136,14.69940185546875,-148.49395751953125,-94.04617309570312
Magnetometer,206148,13.049468994140625,-149.69390869140625,-95.24612426757812
Magnetometer,206159,13.7994384765625,-148.34396362304688,-94.1961669921875
Magnetometer,206170,13.049468994140625,-148.64395141601562,-96.29608154296875
Magnetometer,206181,13.949432373046875,-149.24392700195312,-94.64614868164062
Magnetometer,206192,14.549407958984375,-148.94393920898438,-94.94613647460938
Magnetometer,206203,12.29949951171875,-148.94393920898438,-93.89617919921875
Magnetometer,206214,14.69940185546875,-149.24392700195312,-93.59619140625
Magnetometer,206226,15.29937744140625,-147.593994140625,-92.84622192382812
Magnetometer,206237,13.7994384765625,-147.593994140625,-93.44619750976562
Magnetometer,206248,13.649444580078125,-148.04397583007812,-93.59619140625
Magnetometer,206259,11.09954833984375,-146.9940185546875,-92.9962158203125
Magnetometer,206270,11.249542236328125,-147.593994140625,-93.89617919921875
Magnetometer,206281,11.69952392578125,-148.49395751953125,-92.24624633789062
Magnetometer,206292,11.549530029296875,-146.84402465820312,-94.1961669921875
Magnetometer,206303,10.649566650390625,-149.993896484375,-94.04617309570312
Magnetometer,206314,11.3995361328125,-147.44400024414062,-92.9962158203125
Magnetometer,206325,11.99951171875,-148.34396362304688,-93.89617919921875
Magnetometer,206337,11.249542236328125,-147.14401245117188,-91.7962646484375
Magnetometer,206348,9.89959716796875,-146.9940185546875,-92.54623413085938
Magnetometer,206359,10.349578857421875,-145.49407958984375,-92.24624633789062
Magnetometer,206370,12.29949951171875,-145.7940673828125,-93.89617919921875
Magnetometer,206381,10.799560546875,-146.54403686523438,-92.09625244140625
Magnetometer,206392,10.799560546875,-145.7940673828125,-93.44619750976562
Magnetometer,206403,11.249542236328125,-146.84402465820312,-91.7962646484375
Magnetometer,206414,12.149505615234375,-145.49407958984375,-91.94625854492188
Magnetometer,206425,9.749603271484375,-145.34408569335938,-91.7962646484375
Magnetometer,206436,11.99951171875,-145.7940673828125,-94.1961669921875
Magnetometer,206447,10.349578857421875,-147.74398803710938,-92.54623413085938
Magnetometer,206458,11.09954833984375,-145.94406127929688,-92.9962158203125
Magnetometer,206469,13.199462890625,-145.94406127929688,-92.9962158203125
Magnetometer,206480,10.649566650390625,-145.49407958984375,-92.9962158203125
Magnetometer,206491,10.49957275390625,-146.54403686523438,-93.14620971679688
Magnetometer,206502,11.549530029296875,-145.7940673828125,-92.84622192382812
Magnetometer,206513,11.99951171875,-147.14401245117188,-92.396240234375
Magnetometer,206524,12.149505615234375,-147.44400024414062,-93.59619140625
Magnetometer,207106,13.949432373046875,-157.49359130859375,-97.7960205078125
Magnetometer,207117,12.749481201171875,-158.3935546875,-96.29608154296875
Magnetometer,207363,10.1995849609375,-174.74288940429688,-97.64602661132812
Magnetometer,207374,8.849639892578125,-173.84292602539062,-98.54598999023438
Magnetometer,207386,10.49957275390625,-176.24282836914062,-96.29608154296875
Magnetometer,207397,9.749603271484375,-176.24282836914062,-97.04605102539062
Magnetometer,207408,10.349578857421875,-176.09283447265625,-97.196044921875
Magnetometer,207419,8.9996337890625,-177.29278564453125,-97.64602661132812
Magnetometer,207430,9.599609375,-177.5927734375,-96.74606323242188
Magnetometer,207441,9.89959716796875,-176.09283447265625,-97.7960205078125
Magnetometer,207452,9.599609375,-176.84280395507812,-96.74606323242188
Magnetometer,207463,8.849639892578125,-175.34286499023438,-97.196044921875
Magnetometer,207474,8.249664306640625,-176.9927978515625,-95.99609375
Magnetometer,207486,8.849639892578125,-177.14279174804688,-98.84597778320312
Magnetometer,207497,8.249664306640625,-175.49285888671875,-96.29608154296875
Magnetometer,207508,8.9996337890625,-175.94284057617188,-97.04605102539062
Magnetometer,207519,11.249542236328125,-174.14291381835938,-97.64602661132812
Magnetometer,207530,8.549652099609375,-175.04287719726562,-95.69610595703125
Magnetometer,207541,7.7996826171875,-172.79296875,-98.54598999023438
Magnetometer,207552,7.7996826171875,-175.34286499023438,-97.196044921875
Magnetometer,207563,7.7996826171875,-174.29290771484375,-97.49603271484375
Magnetometer,207574,6.89971923828125,-172.94296264648438,-98.09600830078125
Magnetometer,207586,9.599609375,-172.04299926757812,-97.49603271484375
Magnetometer,207597,8.549652099609375,-171.29302978515625,-97.7960205078125
Magnetometer,207608,8.849639892578125,-171.29302978515625,-97.49603271484375
Magnetometer,207619,7.949676513671875,-171.593017578125,-97.34603881835938
Magnetometer,207630,8.849639892578125,-171.74301147460938,-96.74606323242188
Magnetometer,207641,8.549652099609375,-169.49310302734375,-95.69610595703125
Magnetometer,207652,7.949676513671875,-168.29315185546875,-97.34603881835938
Magnetometer,207663,8.549652099609375,-168.44314575195312,-97.196044921875
Magnetometer,207674,9.89959716796875,-167.3931884765625,-97.7960205078125
Magnetometer,207685,10.349578857421875,-166.94320678710938,-96.74606323242188
Magnetometer,207696,9.599609375,-165.59326171875,-97.7960205078125
Magnetometer,207707,8.09967041015625,-166.64321899414062,-96.74606323242188
Magnetometer,207718,7.349700927734375,-165.14328002929688,-97.196044921875
Magnetometer,207729,8.549652099609375,-165.59326171875,-97.196044921875
Magnetometer,207740,8.69964599609375,-164.69329833984375,-97.34603881835938
Magnetometer,207751,9.749603271484375,-164.69329833984375,-95.99609375
Magnetometer,207762,10.349578857421875,-163.7933349609375,-96.14608764648438
