Attribute,Time stamp,w,x,y,z 
Quaternion,320822,0.6400253772735596,0.09649471938610077,-0.06780220568180084,-0.7592490315437317
Quaternion,320825,0.6406014561653137,0.09538251906633377,-0.06695972383022308,-0.7589784860610962
Quaternion,320831,0.6412733197212219,0.09434956312179565,-0.06604637205600739,-0.7586200833320618
Quaternion,320835,0.6420738101005554,0.09345733374357224,-0.06507354229688644,-0.7581374645233154
Quaternion,320841,0.6430190801620483,0.09281615912914276,-0.06398362666368484,-0.7575076222419739
Quaternion,320847,0.6440953016281128,0.0924905389547348,-0.06278084218502045,-0.7567333579063416
Quaternion,320851,0.6452789306640625,0.09243221580982208,-0.06152097135782242,-0.7558350563049316
Quaternion,320856,0.6465579271316528,0.09255610406398773,-0.0601966418325901,-0.7548328042030334
Quaternion,320861,0.6479270458221436,0.09281817823648453,-0.058753903955221176,-0.7537395358085632
Quaternion,320865,0.6493828296661377,0.09311305731534958,-0.057195067405700684,-0.7525694370269775
Quaternion,320872,0.650898277759552,0.09333723783493042,-0.055570535361766815,-0.7513530850410461
Quaternion,320875,0.6524578332901001,0.09339876472949982,-0.05389958992600441,-0.7501135468482971
Quaternion,320881,0.6540448665618896,0.093242347240448,-0.05221971496939659,-0.7488687634468079
Quaternion,320885,0.6556431651115417,0.0928410142660141,-0.050564758479595184,-0.7476333975791931
Quaternion,320891,0.6572539806365967,0.09222597628831863,-0.04890751838684082,-0.7464044690132141
Quaternion,320897,0.6589058637619019,0.09151280671358109,-0.04720468819141388,-0.7451444268226624
Quaternion,320901,0.6606405377388,0.0907427966594696,-0.045507244765758514,-0.7438070774078369
Quaternion,320906,0.6625011563301086,0.08998296409845352,-0.043893858790397644,-0.7423400282859802
Quaternion,320911,0.66451096534729,0.08931868523359299,-0.042393527925014496,-0.740709125995636
Quaternion,320915,0.6666628122329712,0.08878383785486221,-0.040990546345710754,-0.7389167547225952
Quaternion,320922,0.6689395904541016,0.08839660882949829,-0.0397065207362175,-0.7369731068611145
Quaternion,320925,0.671308159828186,0.08816011250019073,-0.0385284461081028,-0.7349073886871338
Quaternion,320931,0.6737171411514282,0.08804315328598022,-0.0374596044421196,-0.7327689528465271
Quaternion,320935,0.6761545538902283,0.08799497783184052,-0.03651518374681473,-0.7305741310119629
Quaternion,320941,0.6786117553710938,0.08796786516904831,-0.035678960382938385,-0.7283369302749634
Quaternion,320947,0.6810969710350037,0.08795501291751862,-0.03488133102655411,-0.7260538935661316
Quaternion,320951,0.6836172342300415,0.08796942979097366,-0.034028034657239914,-0.723720133304596
Quaternion,320955,0.6861814260482788,0.08794713020324707,-0.0331001952290535,-0.7213354110717773
Quaternion,320961,0.6888131499290466,0.08782706409692764,-0.03212553262710571,-0.7188816070556641
Quaternion,320965,0.6915262341499329,0.0876212790608406,-0.031105808913707733,-0.7163425087928772
Quaternion,320972,0.6943445205688477,0.08739453554153442,-0.029978273436427116,-0.7136871218681335
Quaternion,320975,0.6972780823707581,0.08722410351037979,-0.028795642778277397,-0.7108911275863647
Quaternion,320981,0.7003300189971924,0.08707453310489655,-0.027675792574882507,-0.707947850227356
Quaternion,320985,0.703485369682312,0.08696939051151276,-0.026657508686184883,-0.7048644423484802
Quaternion,320990,0.7067276835441589,0.08692310005426407,-0.02573433518409729,-0.7016538381576538
